epoch,circuit,blocks,depth,gates,cz_gates,estimated_duration_seconds
1,0,19,328,6528,1607,1.4140000000000012e-05
1,1,19,259,5663,1390,1.2420000000000003e-05
1,2,19,283,6046,1478,1.5396000000000027e-05
1,3,19,330,6196,1525,1.3596000000000008e-05
1,4,19,297,6415,1568,1.339600000000001e-05
1,5,19,315,6005,1467,1.3444000000000007e-05
1,6,19,281,5887,1439,1.299600000000001e-05
1,7,19,342,6728,1651,1.5124000000000015e-05
1,8,19,358,6660,1616,1.6048000000000027e-05
1,9,19,340,6298,1557,1.5276000000000025e-05
1,10,19,391,6678,1643,1.6164000000000023e-05
1,11,19,334,6184,1534,1.674800000000003e-05
1,12,19,358,6132,1506,1.4420000000000014e-05
1,13,19,323,6056,1488,1.4100000000000016e-05
1,14,19,309,6349,1539,1.4324000000000012e-05
1,15,19,324,6365,1567,1.4708000000000022e-05
1,16,19,295,6408,1564,1.3612000000000011e-05
1,17,19,277,5757,1394,1.339600000000001e-05
1,18,19,273,5772,1425,1.3172000000000005e-05
1,19,19,324,6470,1578,1.4260000000000011e-05
1,20,19,293,6159,1514,1.2876000000000005e-05
1,21,19,287,6103,1486,1.238e-05
1,22,19,367,6865,1673,1.410000000000001e-05
1,23,19,249,5744,1413,1.2268000000000002e-05
1,24,19,279,5885,1437,1.5668000000000027e-05
1,25,19,263,5485,1358,1.1787999999999998e-05
1,26,19,352,5933,1460,1.534000000000002e-05
1,27,19,277,6436,1578,1.3292000000000006e-05
1,28,19,357,6125,1491,1.482800000000002e-05
1,29,19,298,6244,1521,1.3364000000000008e-05
1,30,19,261,5832,1428,1.2628000000000003e-05
1,31,19,327,6548,1591,1.3236000000000007e-05
1,32,19,343,5987,1476,1.5124000000000015e-05
1,33,19,324,6340,1554,1.5492000000000027e-05
1,34,19,321,6131,1505,1.6236000000000025e-05
1,35,19,343,6708,1633,1.716400000000003e-05
1,36,19,288,6093,1476,1.3452000000000008e-05
1,37,19,350,6211,1520,1.4292000000000013e-05
1,38,19,295,5695,1393,1.2044e-05
1,39,19,352,6300,1548,1.4956000000000016e-05
1,40,19,302,6522,1605,1.3556000000000007e-05
1,41,19,331,7325,1777,1.449200000000002e-05
1,42,19,355,6200,1519,1.4324000000000014e-05
1,43,19,291,5769,1413,1.2812000000000004e-05
1,44,19,282,6125,1516,1.3916000000000012e-05
1,45,19,278,6044,1490,1.3268000000000004e-05
1,46,19,347,6306,1538,1.5188000000000016e-05
1,47,19,285,5969,1468,1.2748000000000002e-05
1,48,19,380,6265,1515,1.579600000000002e-05
1,49,19,361,6030,1478,1.554000000000002e-05
1,50,19,325,5836,1431,1.3356000000000007e-05
1,51,19,442,6409,1550,1.872400000000002e-05
1,52,19,323,6508,1596,1.4548000000000012e-05
1,53,19,297,6168,1505,1.5220000000000022e-05
1,54,19,363,6416,1564,1.4684000000000014e-05
1,55,19,323,6144,1497,1.3236000000000007e-05
1,56,19,320,6139,1490,1.4196000000000011e-05
1,57,19,292,6224,1511,1.3100000000000012e-05
1,58,19,353,6507,1594,1.3864000000000025e-05
1,59,19,298,5851,1443,1.3876000000000009e-05
1,60,19,336,6088,1492,1.3692000000000009e-05
1,61,19,375,6659,1648,1.5156000000000015e-05
1,62,19,314,6111,1495,1.4420000000000013e-05
1,63,19,315,6892,1659,1.410000000000001e-05
1,64,19,354,6309,1559,1.5556000000000022e-05
1,65,19,325,6605,1612,1.3292000000000006e-05
1,66,19,305,6195,1517,1.406800000000002e-05
1,67,19,302,6158,1530,1.3828000000000016e-05
1,68,19,298,5992,1466,1.3364000000000008e-05
1,69,19,387,5883,1443,1.541200000000002e-05
1,70,19,283,5640,1391,1.2508000000000003e-05
1,71,19,316,6334,1551,1.4012000000000011e-05
1,72,19,322,5756,1395,1.3236000000000007e-05
1,73,19,263,5577,1365,1.1787999999999998e-05
1,74,19,344,6162,1522,1.5036000000000015e-05
1,75,19,301,6234,1518,1.623600000000003e-05
1,76,19,283,5849,1442,1.4012000000000016e-05
1,77,19,357,6530,1577,1.4980000000000016e-05
1,78,19,328,6211,1532,1.4532000000000013e-05
1,79,19,332,6097,1509,1.4644000000000014e-05
1,80,19,277,5837,1442,1.3292000000000006e-05
1,81,19,345,6046,1491,1.5132000000000015e-05
1,82,19,293,5840,1425,1.3572000000000008e-05
1,83,19,271,6448,1558,1.2812000000000005e-05
1,84,19,308,6188,1510,1.4820000000000022e-05
1,85,19,332,6106,1519,1.3596000000000008e-05
1,86,19,300,6371,1559,1.2276000000000002e-05
1,87,19,255,5845,1451,1.403600000000002e-05
1,88,19,357,6379,1566,1.4652000000000015e-05
1,89,19,259,5756,1423,1.3804000000000014e-05
1,90,19,327,6042,1493,1.4532000000000013e-05
1,91,19,279,5712,1411,1.3268000000000004e-05
1,92,19,299,6217,1526,1.406800000000002e-05
1,93,19,272,6214,1526,1.2876000000000005e-05
1,94,19,343,6168,1517,1.4316000000000012e-05
1,95,19,274,5875,1445,1.2387999999999999e-05
1,96,19,297,6243,1516,1.2940000000000007e-05
1,97,19,278,6647,1622,1.3708000000000013e-05
1,98,19,347,6523,1600,1.5100000000000016e-05
1,99,19,283,6247,1526,1.3356000000000007e-05
1,100,19,324,6607,1622,1.396400000000001e-05
1,101,19,335,6262,1526,1.5348000000000016e-05
1,102,19,335,6470,1588,1.4644000000000014e-05
1,103,19,364,6384,1581,1.573200000000002e-05
1,104,19,305,6812,1648,1.5908000000000028e-05
1,105,19,322,5912,1470,1.4196000000000011e-05
1,106,19,283,6082,1505,1.2652000000000002e-05
1,107,19,283,6107,1511,1.3820000000000012e-05
1,108,19,275,6054,1485,1.2268000000000002e-05
1,109,19,278,5932,1464,1.304000000000002e-05
1,110,19,299,6332,1527,1.3900000000000011e-05
1,111,19,325,5760,1393,1.363600000000001e-05
1,112,19,397,6385,1566,1.5836000000000023e-05
1,113,19,248,5554,1386,1.2148e-05
1,114,19,329,6354,1554,1.3604000000000007e-05
1,115,19,326,6480,1580,1.569600000000003e-05
1,116,19,302,6173,1509,1.7172000000000038e-05
1,117,19,282,6310,1544,1.2876000000000005e-05
1,118,19,281,5960,1473,1.2508000000000003e-05
1,119,19,332,5935,1464,1.3188000000000008e-05
1,120,19,325,6010,1464,1.2996000000000006e-05
1,121,19,267,5649,1391,1.2396e-05
1,122,19,323,6562,1620,1.598400000000003e-05
1,123,19,317,5988,1474,1.4012000000000011e-05
1,124,19,326,6492,1578,1.7300000000000038e-05
1,125,19,255,5537,1351,1.2364000000000002e-05
1,126,19,322,5928,1453,1.3708000000000013e-05
1,127,19,366,5768,1417,1.6140000000000025e-05
1,128,19,321,5992,1464,1.4108000000000011e-05
1,129,19,272,5947,1465,1.2876000000000005e-05
1,130,19,321,5852,1440,1.3708000000000013e-05
1,131,19,317,6487,1595,1.410000000000001e-05
1,132,19,285,5966,1466,1.2748000000000002e-05
1,133,19,295,6062,1482,1.3052000000000006e-05
1,134,14,235,4058,1004,1.1603999999999996e-05
2,0,19,257,5820,1419,1.3300000000000013e-05
2,1,19,295,6170,1495,1.478800000000002e-05
2,2,19,318,5880,1451,1.4596000000000012e-05
2,3,19,343,6426,1562,1.5036000000000015e-05
2,4,19,268,5968,1474,1.2748000000000004e-05
