beta,seed,epoch,J,h,gradient_J,gradient_h,mass_J,mass_h,instances_J,instances_h,learning_rate,cumulative_measurements,error_relative,error_J,error_h
0.2,0,0,0.5,0.5,,,,,,,,0,0.6201736729460423,0.5,0.6666666666666666
0.2,0,1,0.5197547397364143,0.5879474289444924,-0.11685264014595309,-0.3468159845294904,7.084960076217787,5.4999490643968745,144,112,0.5,8192,0.5717652563971986,0.4802452602635857,0.6080350473703384
0.2,0,2,0.5417996731674475,0.6753489215520063,-0.37755496416881573,-0.9979274833668487,7.26953286941991,5.760189017914974,142,114,0.45454545454545453,16384,0.5233022191062319,0.4582003268325525,0.5497673856319958
0.2,0,3,0.6114590660760535,0.7325552933964473,-0.5327807021777221,-0.2916902726031437,7.465548224303982,6.030450579660498,141,115,0.4166666666666667,24576,0.4771503343257458,0.3885409339239465,0.5116298044023685
0.2,0,4,0.6035331447779231,0.8223449351797613,0.05225991008482336,-0.39468796367780545,7.804146572666956,6.369920526834843,140,116,0.3846153846153846,32768,0.43550231092426,0.3964668552220769,0.4517700432134925
0.2,0,5,0.6523758902395264,0.8981036720737527,-0.3053589343938653,-0.31575630390065407,7.896724070836702,6.567731121133605,139,117,0.35714285714285715,40960,0.3855552285123215,0.34762410976047364,0.40126421861749817
0.2,0,6,0.6342020626703255,0.9863913382082982,0.07788729173878971,-0.2522487235366153,8.189292388535604,6.902110000538112,138,118,0.3333333333333333,49152,0.34977002924871703,0.36579793732967447,0.34240577452780124
0.2,0,7,0.6710562715482187,1.0686517010082799,-0.2746259322412992,-0.40865217313082286,8.246301965382573,7.07339761491897,137,119,0.3125,57344,0.300903936385945,0.3289437284517813,0.28756553266114676
0.2,0,8,0.7547723208124293,1.0352357901933362,-0.5357162514272624,0.14255686643239887,8.508894621209658,7.397545501356914,136,120,0.29411764705882354,65536,0.2914908022599234,0.2452276791875707,0.30984280653777585
0.2,0,9,0.814536169616333,0.9677577761728856,-0.5491511076630656,0.4133560882691334,8.78641772260905,7.567596077542596,137,119,0.2777777777777778,73728,0.312645593015977,0.18546383038366698,0.35482814921807626
0.2,0,10,0.7649347833150546,1.0430219939459506,0.22233746250157,-0.2249138104754619,8.925838494608483,7.58280846745843,138,118,0.2631578947368421,81920,0.285055759248432,0.2350652166849454,0.30465200403603293
0.2,0,11,0.8363343961669304,1.0336423115945907,-0.2741745133512032,0.02401198681948105,8.838096077438784,7.619803817381987,137,119,0.25,90112,0.27415656583160375,0.1636656038330696,0.31090512560360617
0.2,0,12,0.7979966167674633,1.1152218106781093,0.28675537216564156,-0.4067938551688102,9.109677909957771,7.823590911529441,137,119,0.23809523809523808,98304,0.2410615126191295,0.20200338323253675,0.25651879288126045
0.2,0,13,0.7150394744949883,1.1210770688276253,0.35041096895893425,-0.016488406949037106,9.077312719698106,7.914435335537812,136,120,0.22727272727272727,106496,0.2629917160815039,0.2849605255050117,0.25261528744824985
0.2,0,14,0.7906900046937861,1.1265046771329925,-0.33407274135789156,-0.015978878851001535,8.75834078547918,7.669861848480737,136,120,0.2173913043478261,114688,0.2374929507220194,0.20930999530621386,0.2489968819113383
0.2,0,15,0.8177061514293503,1.040509748122251,-0.2332951246982646,0.4950668423924264,9.065181988275425,7.921069478278822,136,120,0.20833333333333334,122880,0.2742050545443213,0.18229384857064967,0.306326834585166
0.2,0,16,0.8512322495579441,0.97920783329679,-0.16092527101724993,0.19616612744147513,9.044825488969535,7.781256388511847,137,119,0.2,131072,0.30043881981631415,0.14876775044205592,0.34719477780214003
0.2,0,17,0.9040143254624529,0.9669034207109164,-0.2634881229153079,0.04094908508578707,9.090340240578122,7.731187264196599,138,118,0.1923076923076923,139264,0.30046385297308364,0.09598567453754714,0.35539771952605576
0.2,0,18,0.9121285440515238,1.0103462773514507,-0.04206410916574348,-0.15013851254968674,9.287755303796159,7.87393088038357,138,118,0.18518518518518517,147456,0.27594991790545426,0.08787145594847623,0.3264358150990329
0.2,0,19,0.9397986202931713,0.9783724137512837,-0.14875432987509699,0.11459432714299823,9.38427315326326,8.013114431332617,138,118,0.17857142857142858,155648,0.2912675454493383,0.060201379706828706,0.34775172416581085
0.2,0,20,1.011610635214531,1.0328520843902882,-0.6806413111377817,-0.3442424362617074,9.45192462259259,8.023823699532144,138,118,0.1724137931034483,163840,0.25920706418945827,0.011610635214531095,0.31143194373980787
0.2,0,21,0.9937007270425448,1.071969723628594,0.10316107107064154,-0.15021173467509488,9.8316985994281,8.411857141805314,137,119,0.16666666666666666,172032,0.237454188832207,0.006299272957455249,0.28535351758093724
0.2,0,22,1.0429577525317766,1.1474597589971987,-0.5865272855511542,-0.5992643024507948,9.814258091054427,8.451846161972691,137,119,0.16129032258064516,180224,0.1970005779209755,0.04295775253177658,0.2350268273352009
0.2,0,23,1.0730809688760088,1.2324161703919756,-0.24687672819760711,-0.46417710169404,10.13592001052817,8.82396074507482,136,120,0.15625,188416,0.15386500964712033,0.07308096887600879,0.17838921973868294
0.2,0,24,1.1103403231713218,1.1503385210744157,-0.3248464176890715,0.47706373978508326,10.395085366050289,9.159623803873599,136,120,0.15151515151515152,196608,0.20338530070323974,0.11034032317132181,0.2331076526170562
0.2,0,25,1.1435134704069716,1.0665259784421706,-0.34507845144251853,0.5812312032087229,10.429037643596116,9.072877318380066,136,120,0.14705882352941177,204800,0.2532835708199684,0.1435134704069716,0.28898268103855296
0.2,0,26,1.1594235200434646,1.1552495396903775,-0.1191476024869894,-0.4429569087194729,10.44686178605923,8.97223355533911,137,119,0.14285714285714285,212992,0.2106902492188989,0.1594235200434646,0.22983364020641503
0.2,0,27,1.1145100650698923,1.2334018369204454,0.4160085420772139,-0.4825877271416946,10.649818677176675,9.265684361120536,136,120,0.1388888888888889,221184,0.16094637000681433,0.11451006506989225,0.1777321087197031
0.2,0,28,1.0926191545366548,1.157623787328585,0.15551302842811845,0.3588848428670507,10.574885933112055,9.311606733847801,136,120,0.13513513513513511,229376,0.19674253287779767,0.09261915453665481,0.22825080844760995
0.2,0,29,1.1553850677183364,1.2223187650507361,-0.5953434505352674,-0.40909393137132044,10.363738786917935,9.028279864746382,136,120,0.13157894736842105,237568,0.17650573101419534,0.15538506771833638,0.18512082329950927
0.2,0,30,1.1764684080594454,1.228222710426656,-0.1578720524742241,-0.029472495316592656,10.735299568247239,9.43119850130965,136,120,0.12820512820512822,245760,0.17974682551673632,0.17646840805944541,0.1811848597155626
0.2,0,31,1.1868436879761541,1.1439229076175697,-0.07968214976032287,0.4316149903825228,10.83677236740391,9.525296339476366,136,120,0.125,253952,0.22305670852329929,0.18684368797615414,0.23738472825495358
0.2,0,32,1.2491594108611457,1.1252337076441146,-0.4905493705506534,0.09808092146069267,10.752842202470323,9.337303723057941,137,119,0.12195121951219513,262144,0.249633692195246,0.24915941086114568,0.24984419490392362
0.2,0,33,1.1987495350420547,1.1698902832859757,0.4065052386051496,-0.2400737506506447,11.000734358302319,9.522925442475573,137,119,0.11904761904761904,270336,0.2137387353745735,0.19874953504205473,0.22007314447601622
0.2,0,34,1.1329500042362135,1.1394822537118345,0.5432409263330257,0.16736579477607302,10.844883079822605,9.451244881472359,136,120,0.11627906976744186,278528,0.21314404592280004,0.1329500042362135,0.2403451641921103
